"categoria","nivel","id","palavra","imagem","imagemExiste","imagemTipo","som","somExiste","audioFallback"
"animais","1","vaca","Vaca","assets/imagens/animais/n1_vaca.png","True","real/custom","assets/sons/animais/n1_vaca.mp3","True","animal:muuu"
"animais","1","gato","Gato","assets/imagens/animais/n1_gato.png","True","placeholder","assets/sons/animais/n1_gato.mp3","True","animal:miau"
"animais","1","pato","Pato","assets/imagens/animais/n1_pato.png","True","placeholder","assets/sons/animais/n1_pato.mp3","True","animal:quack quack"
"animais","1","sapo","Sapo","assets/imagens/animais/n1_sapo.png","True","placeholder","assets/sons/animais/n1_sapo.mp3","True","animal:coax coax"
"animais","1","boi","Boi","assets/imagens/animais/n1_boi.png","True","placeholder","assets/sons/animais/n1_boi.mp3","True","animal:muuu"
"animais","1","rato","Rato","assets/imagens/animais/n1_rato.png","True","placeholder","assets/sons/animais/n1_rato.mp3","False","animal:iii iii"
"animais","1","peixe","Peixe","assets/imagens/animais/n1_peixe.png","True","placeholder","assets/sons/animais/n1_peixe.mp3","False","tts:Peixe"
"animais","1","cobra","Cobra","assets/imagens/animais/n1_cobra.png","True","placeholder","assets/sons/animais/n1_cobra.mp3","True","animal:ssss"
"animais","1","pinto","Pinto","assets/imagens/animais/n1_pinto.png","True","placeholder","assets/sons/animais/n1_pinto.mp3","True","animal:piu piu"
"animais","1","foca","Foca","assets/imagens/animais/n1_foca.png","True","placeholder","assets/sons/animais/n1_foca.mp3","False","animal:arf arf"
"animais","1","urso","Urso","assets/imagens/animais/n1_urso.png","True","placeholder","assets/sons/animais/n1_urso.mp3","False","animal:grrr"
"animais","1","bode","Bode","assets/imagens/animais/n1_bode.png","True","placeholder","assets/sons/animais/n1_bode.mp3","True","animal:beee"
"animais","2","cavalo","Cavalo","assets/imagens/animais/n2_cavalo.png","True","placeholder","assets/sons/animais/n2_cavalo.mp3","True","animal:iirrr"
"animais","2","galinha","Galinha","assets/imagens/animais/n2_galinha.png","True","placeholder","assets/sons/animais/n2_galinha.mp3","True","animal:cocorico"
"animais","2","macaco","Macaco","assets/imagens/animais/n2_macaco.png","True","placeholder","assets/sons/animais/n2_macaco.mp3","True","animal:u u a a"
"animais","2","coelho","Coelho","assets/imagens/animais/n2_coelho.png","True","placeholder","assets/sons/animais/n2_coelho.mp3","False","tts:Coelho"
"animais","2","ovelha","Ovelha","assets/imagens/animais/n2_ovelha.png","True","placeholder","assets/sons/animais/n2_ovelha.mp3","True","animal:meee"
"animais","2","tartaruga","Tartaruga","assets/imagens/animais/n2_tartaruga.png","True","placeholder","assets/sons/animais/n2_tartaruga.mp3","False","tts:Tartaruga"
"animais","2","cachorro","Cachorro","assets/imagens/animais/n2_cachorro.png","True","placeholder","assets/sons/animais/n2_cachorro.mp3","True","animal:au au"
"animais","2","porco","Porco","assets/imagens/animais/n2_porco.png","True","placeholder","assets/sons/animais/n2_porco.mp3","True","animal:oinc oinc"
"animais","2","pintinho","Pintinho","assets/imagens/animais/n2_pintinho.png","True","placeholder","assets/sons/animais/n2_pintinho.mp3","True","animal:piu piu"
"animais","2","abelha","Abelha","assets/imagens/animais/n2_abelha.png","True","placeholder","assets/sons/animais/n2_abelha.mp3","True","animal:zzzz"
"animais","2","girafa","Girafa","assets/imagens/animais/n2_girafa.png","True","placeholder","assets/sons/animais/n2_girafa.mp3","False","tts:Girafa"
"animais","2","camelo","Camelo","assets/imagens/animais/n2_camelo.png","True","placeholder","assets/sons/animais/n2_camelo.mp3","False","tts:Camelo"
"animais","3","elefante","Elefante","assets/imagens/animais/n3_elefante.png","True","placeholder","assets/sons/animais/n3_elefante.mp3","True","animal:pruuu"
"animais","3","borboleta","Borboleta","assets/imagens/animais/n3_borboleta.png","True","placeholder","assets/sons/animais/n3_borboleta.mp3","False","tts:Borboleta"
"animais","3","crocodilo","Crocodilo","assets/imagens/animais/n3_crocodilo.png","True","placeholder","assets/sons/animais/n3_crocodilo.mp3","False","tts:Crocodilo"
"animais","3","passarinho","Passarinho","assets/imagens/animais/n3_passarinho.png","True","placeholder","assets/sons/animais/n3_passarinho.mp3","True","animal:piu piu"
"animais","3","tucano","Tucano","assets/imagens/animais/n3_tucano.png","True","placeholder","assets/sons/animais/n3_tucano.mp3","False","tts:Tucano"
"animais","3","joaninha","Joaninha","assets/imagens/animais/n3_joaninha.png","True","placeholder","assets/sons/animais/n3_joaninha.mp3","False","tts:Joaninha"
"animais","3","caranguejo","Caranguejo","assets/imagens/animais/n3_caranguejo.png","True","placeholder","assets/sons/animais/n3_caranguejo.mp3","False","tts:Caranguejo"
"animais","3","hipopotamo","Hipopotamo","assets/imagens/animais/n3_hipopotamo.png","True","placeholder","assets/sons/animais/n3_hipopotamo.mp3","False","tts:Hipopotamo"
"animais","3","lagartixa","Lagartixa","assets/imagens/animais/n3_lagartixa.png","True","placeholder","assets/sons/animais/n3_lagartixa.mp3","False","tts:Lagartixa"
"animais","3","dinossauro","Dinossauro","assets/imagens/animais/n3_dinossauro.png","True","placeholder","assets/sons/animais/n3_dinossauro.mp3","True","animal:grrr"
"animais","4","gato","Gato","assets/imagens/animais/n4_gato.png","True","placeholder","assets/sons/animais/n4_gato.mp3","True","animal:miau"
"animais","4","vaca","Vaca","assets/imagens/animais/n4_vaca.png","True","real/custom","assets/sons/animais/n4_vaca.mp3","True","animal:muuu"
"animais","4","cavalo","Cavalo","assets/imagens/animais/n4_cavalo.png","True","placeholder","assets/sons/animais/n4_cavalo.mp3","True","animal:iirrr"
"animais","4","galinha","Galinha","assets/imagens/animais/n4_galinha.png","True","placeholder","assets/sons/animais/n4_galinha.mp3","True","animal:cocorico"
"animais","4","elefante","Elefante","assets/imagens/animais/n4_elefante.png","True","placeholder","assets/sons/animais/n4_elefante.mp3","True","animal:pruuu"
"animais","4","amarelo","Amarelo","assets/imagens/animais/n4_amarelo.png","True","placeholder","assets/sons/animais/n4_amarelo.mp3","True","animal:quack quack"
"animais","4","verde","Verde","assets/imagens/animais/n4_verde.png","True","placeholder","assets/sons/animais/n4_verde.mp3","True","animal:coax coax"
"animais","4","azul","Azul","assets/imagens/animais/n4_azul.png","True","placeholder","assets/sons/animais/n4_azul.mp3","False","tts:a borboleta azul"
"animais","4","grande","Grande","assets/imagens/animais/n4_grande.png","True","placeholder","assets/sons/animais/n4_grande.mp3","True","animal:au au"
"animais","4","pequeno","Pequeno","assets/imagens/animais/n4_pequeno.png","True","placeholder","assets/sons/animais/n4_pequeno.mp3","True","animal:piu piu"
"alimentos","1","leite","Leite","assets/imagens/alimentos/n1_leite.png","True","placeholder","assets/sons/alimentos/n1_leite.mp3","False","tts:Leite"
"alimentos","1","arroz","Arroz","assets/imagens/alimentos/n1_arroz.png","True","placeholder","assets/sons/alimentos/n1_arroz.mp3","False","tts:Arroz"
"alimentos","1","ovo","Ovo","assets/imagens/alimentos/n1_ovo.png","True","placeholder","assets/sons/alimentos/n1_ovo.mp3","False","tts:Ovo"
"alimentos","1","bolo","Bolo","assets/imagens/alimentos/n1_bolo.png","True","placeholder","assets/sons/alimentos/n1_bolo.mp3","False","tts:Bolo"
"alimentos","1","sopa","Sopa","assets/imagens/alimentos/n1_sopa.png","True","placeholder","assets/sons/alimentos/n1_sopa.mp3","False","tts:Sopa"
"alimentos","1","suco","Suco","assets/imagens/alimentos/n1_suco.png","True","placeholder","assets/sons/alimentos/n1_suco.mp3","False","tts:Suco"
"alimentos","1","cafe","Cafe","assets/imagens/alimentos/n1_cafe.png","True","placeholder","assets/sons/alimentos/n1_cafe.mp3","False","tts:Cafe"
"alimentos","1","uva","Uva","assets/imagens/alimentos/n1_uva.png","True","placeholder","assets/sons/alimentos/n1_uva.mp3","False","tts:Uva"
"alimentos","1","bife","Bife","assets/imagens/alimentos/n1_bife.png","True","placeholder","assets/sons/alimentos/n1_bife.mp3","False","tts:Bife"
"alimentos","1","queijo","Queijo","assets/imagens/alimentos/n1_queijo.png","True","placeholder","assets/sons/alimentos/n1_queijo.mp3","False","tts:Queijo"
"alimentos","1","pera","Pera","assets/imagens/alimentos/n1_pera.png","True","placeholder","assets/sons/alimentos/n1_pera.mp3","False","tts:Pera"
"alimentos","1","doce","Doce","assets/imagens/alimentos/n1_doce.png","True","placeholder","assets/sons/alimentos/n1_doce.mp3","False","tts:Doce"
"alimentos","2","banana","Banana","assets/imagens/alimentos/n2_banana.png","True","placeholder","assets/sons/alimentos/n2_banana.mp3","False","tts:Banana"
